,Lead Number,Lead Score
1667,643101,88
8372,585892,88
4472,616733,88
582,654246,88
7013,595825,88
6008,603687,87
8265,586771,87
3562,626338,87
154,658983,87
6421,600713,87
1050,649003,87
9020,581214,87
1591,643772,87
1804,641946,87
7182,594393,87
4135,620304,87
6178,602406,87
3319,628320,87
1139,647990,87
8987,581455,87
1774,642145,87
2485,635825,87
7127,594796,87
7018,595797,87
9184,580013,87
5637,606704,87
4645,615193,87
2271,637771,87
7987,588625,87
4258,619098,87
4748,614259,87
5549,607357,87
1327,645887,87
3674,624965,87
4331,618288,87
4974,612223,87
8610,584037,87
6872,596860,87
7040,595681,87
572,654326,87
2893,631890,87
2936,631563,87
2138,639215,87
6683,598572,87
1603,643583,87
799,652060,87
4318,618413,87
1203,647142,87
8514,584691,87
1800,641959,87
2290,637590,87
7314,593315,87
6480,600201,87
6256,601813,87
6826,597343,87
7836,589696,87
1873,641392,87
2571,634844,87
7156,594596,87
9234,579615,87
3163,629657,87
8460,585325,87
1619,643386,87
1473,644706,87
4971,612248,86
4140,620273,86
5591,607089,86
1213,647040,86
8933,581862,86
438,655665,86
1642,643281,86
1698,642881,86
6341,601242,86
5324,609001,86
7396,592736,86
1829,641715,86
7053,595576,86
7238,593945,86
8972,581561,86
82,659704,86
8730,583208,86
1407,645294,86
3496,626971,86
3288,628500,86
3315,628347,86
6484,600148,86
9093,580670,86
4379,617761,86
7051,595596,86
6725,598210,86
4137,620278,86
8117,587883,86
5942,604240,86
2967,631390,86
6851,597178,86
848,651541,86
4583,615827,86
3223,629260,86
1934,640957,86
4743,614324,86
1771,642169,86
7234,593962,86
4504,616521,86
8983,581489,86
4839,613622,86
3448,627299,86
1446,644988,86
3015,630875,86
62,659918,86
1141,647992,86
7216,594049,86
2113,639343,86
1267,646491,86
1537,644076,86
780,652317,86
2856,632274,86
1597,643637,86
4418,617368,86
3401,627593,85
4702,614695,85
6315,601434,85
7424,592597,85
5540,607465,85
5769,605469,85
8645,583745,85
832,651696,85
98,659523,85
321,657031,85
2870,632178,85
3971,622052,85
4426,617258,85
1512,644246,85
4686,614819,85
15,660547,85
1631,643289,85
6162,602504,85
7858,589511,85
5983,603943,85
598,654187,85
2299,637445,85
5319,609021,85
1257,646558,85
1325,645914,85
2472,635948,85
3907,622575,85
6773,597904,85
6672,598675,85
5365,608699,85
1195,647299,85
2337,637172,85
3852,623161,85
2641,634125,85
1130,647981,85
9064,580870,85
5991,603864,85
7915,589083,85
2269,637794,85
30,660402,85
6968,596168,85
3691,624727,85
3614,625866,85
8473,585174,85
6152,602590,85
6987,596001,85
1524,644160,85
5560,607282,85
8024,588264,85
9072,580799,85
4643,615216,85
5127,610662,85
2899,631831,85
4703,614694,85
4191,619624,85
3488,627012,85
1612,643496,85
6430,600661,85
1961,640630,85
6947,596376,85
6722,598246,85
2705,633775,85
5836,605130,85
9231,579697,85
4038,621269,85
5089,611064,85
4239,619240,85
8642,583760,85
2479,635896,85
6697,598455,85
8990,581415,84
7059,595517,84
983,649677,84
223,658142,84
8850,582381,84
8076,588029,84
4498,616567,84
1682,642990,84
4826,613688,84
5314,609067,84
6299,601553,84
5071,611186,84
7014,595811,84
4197,619556,84
8884,582192,84
7361,592984,84
1180,647584,84
956,650133,84
7008,595853,84
4087,620705,84
1164,647759,84
353,656668,84
1678,643038,84
4568,615948,84
9160,580221,84
2526,635448,84
8451,585373,84
3289,628499,84
7237,593946,84
2460,636073,84
3411,627539,84
5455,608125,84
9176,580090,84
2347,637120,84
3146,629768,84
5010,611801,84
2918,631670,84
623,654001,84
836,651660,84
5413,608349,84
24,660458,84
4489,616598,84
4003,621566,84
187,658561,84
2285,637640,84
1936,640928,84
374,656483,84
7165,594531,84
4091,620677,84
8110,587905,84
1510,644249,84
5194,610091,84
3759,624147,84
3282,628536,84
5051,611347,84
7175,594447,84
7157,594594,84
7195,594251,84
327,656948,84
5229,609677,84
6513,599932,84
8411,585648,84
745,652725,84
406,656176,84
7525,591848,84
5154,610435,84
7820,589807,84
5828,605182,84
2827,632611,84
3412,627538,84
2140,639211,84
5179,610199,84
8953,581705,84
2365,636960,84
1691,642941,84
2020,640115,83
2426,636410,83
3339,628121,83
4924,612745,83
1831,641693,83
2475,635910,83
2435,636299,83
6616,599009,83
7239,593929,83
7633,591226,83
345,656743,83
8885,582172,83
795,652085,83
4660,615013,83
8867,582296,83
4812,613818,83
8161,587495,83
2777,632997,83
5773,605432,83
6486,600139,83
6990,595985,83
872,651251,83
1416,645243,83
8008,588458,83
8322,586343,83
5741,605767,83
8111,587903,83
164,658793,83
225,658089,83
3121,629955,83
2390,636774,83
1644,643283,83
2900,631819,83
2582,634758,83
7304,593392,83
7853,589544,83
3736,624348,83
8412,585646,83
6937,596446,83
1313,646076,83
5196,610052,83
607,654136,83
517,655061,83
877,651199,83
975,649833,83
5037,611458,83
2127,639297,83
6581,599320,83
5253,609475,83
679,653552,83
7606,591418,83
4541,616127,83
1171,647668,83
1015,649338,83
746,652708,83
8184,587378,83
7832,589730,83
8921,581942,83
1746,642394,83
4030,621327,83
7445,592438,83
7482,592240,83
2584,634731,83
7364,592959,83
4145,620221,83
331,656911,83
1386,645398,83
5343,608852,83
5460,608106,83
2688,633904,83
4750,614238,83
3266,628685,83
3945,622280,83
3185,629511,83
5465,608081,83
5503,607689,83
5657,606589,83
9014,581267,83
7835,589699,83
401,656259,83
1360,645636,83
5433,608251,83
3711,624537,83
4807,613858,83
8759,582991,83
1478,644671,83
2609,634513,83
2443,636209,83
4831,613660,83
1032,649186,83
2152,639134,83
4665,614974,83
8684,583534,82
6593,599181,82
6211,602118,82
6180,602403,82
6963,596198,82
8974,581538,82
7689,590832,82
3586,626187,82
3814,623497,82
5186,610145,82
9230,579701,82
962,650012,82
4369,617854,82
2367,636931,82
5992,603846,82
4080,620792,82
5084,611079,82
7949,588865,82
7996,588567,82
3449,627296,82
7099,595073,82
2820,632702,82
2402,636665,82
4227,619314,82
2268,637818,82
4275,618952,82
3589,626161,82
7328,593206,82
288,657379,82
3366,627877,82
5414,608348,82
7409,592683,82
6298,601562,82
1886,641288,82
8043,588144,82
1390,645385,82
1285,646360,82
4634,615309,82
1010,649378,82
1988,640398,82
9130,580405,82
6509,599957,82
9032,581135,82
6834,597284,82
2159,639086,82
2877,632097,82
8413,585643,82
2022,640108,82
8394,585772,81
720,653017,81
3602,625984,81
4221,619408,81
227,658071,81
3034,630775,81
6472,600261,81
8599,584115,81
7688,590845,81
5009,611844,81
8570,584335,81
7458,592405,81
715,653068,81
8420,585574,81
2784,632936,81
2515,635575,81
3228,629232,81
306,657174,81
6631,598916,81
6791,597725,81
5389,608492,81
160,658852,81
7019,595777,81
1522,644174,81
6096,603052,81
5534,607483,81
4990,612022,81
1488,644524,81
8646,583743,81
2031,640040,81
7240,593916,81
3359,627972,81
5411,608365,81
6182,602392,81
2521,635486,81
585,654173,81
1521,644181,81
6069,603274,81
1411,645276,81
4292,618729,80
26,660432,80
2480,635889,80
1404,645315,80
5683,606410,80
453,655492,80
6576,599351,80
8120,587853,80
2986,631255,80
1769,642180,80
3350,628048,80
6532,599666,80
3778,623915,80
2378,636860,80
2387,636806,80
649,653836,80
8027,588238,80
7228,593992,80
8391,585790,80
1509,644257,80
6378,600994,80
5270,609372,80
6302,601526,80
2004,640258,80
5931,604363,80
1075,648605,80
6877,596809,80
3073,630485,80
2424,636420,80
1326,645889,80
7452,592415,80
6740,598110,80
5889,604730,80
7076,595269,80
6413,600761,80
7911,589123,80
5275,609349,80
2508,635686,80
6586,599270,80
7716,590668,80
5628,606803,80
7962,588794,80
686,653473,80
5538,607470,80
9021,581211,80
2258,637856,80
7455,592408,80
4683,614840,80
4676,614902,79
1469,644724,79
7468,592345,79
5221,609739,79
5190,610126,79
4584,615813,79
1824,641781,79
4483,616661,79
6134,602710,79
2888,631967,79
2103,639408,79
1857,641495,79
1557,643946,79
4551,616049,79
9037,581125,79
8719,583307,79
1479,644665,79
2988,631243,79
1318,646001,79
3625,625726,79
2913,631708,79
5972,604038,79
7178,594407,79
6995,595962,79
1915,641093,79
5272,609355,79
3055,630661,79
6150,602627,79
2128,639296,79
8465,585282,79
4496,616576,79
2541,635315,79
5474,607984,79
6117,602809,79
4554,616037,79
8361,586022,79
7327,593208,79
6003,603737,79
4180,619786,79
8813,582628,79
4487,616614,79
3569,626301,79
2235,638014,79
4994,611999,79
937,650330,79
5286,609211,79
6768,597925,79
6667,598737,79
7588,591492,78
1279,646412,78
2197,638505,78
4048,621209,78
3390,627699,78
4881,613188,78
8841,582437,78
2124,639302,78
1242,646726,78
4455,616923,78
2089,639504,78
1720,642640,78
7498,592113,78
185,658597,78
7960,588802,78
4086,620731,78
4663,614996,78
4802,613938,78
2329,637206,78
6994,595970,78
5653,606618,78
4688,614804,78
8536,584568,78
834,651663,78
6240,601884,78
2652,634057,78
7081,595237,78
400,656265,78
1540,644065,78
8859,582333,78
4477,616706,78
6427,600689,78
3703,624594,78
4488,616607,78
264,657644,78
1875,641383,78
6743,598094,78
578,654283,78
6440,600597,78
5896,604692,78
2510,635638,78
114,659364,78
2209,638377,78
2920,631662,77
2223,638184,77
3003,631017,77
3192,629451,77
2052,639859,77
1462,644862,77
1288,646335,77
4586,615804,77
5207,609892,77
7219,594038,77
8880,582199,77
3360,627970,77
7794,590078,77
7052,595589,77
6742,598098,77
1967,640577,77
4877,613210,77
3329,628209,77
727,652926,77
5673,606502,77
1994,640364,77
8804,582686,77
565,654434,77
1053,648992,77
7841,589639,77
4794,614007,77
3495,626976,77
9221,579767,77
2446,636192,77
4875,613289,77
6710,598316,77
5250,609500,77
6368,601070,77
84,659696,77
8587,584241,77
110,659395,77
5732,605849,77
1792,642046,77
9007,581303,77
4817,613769,77
8164,587484,77
1560,643937,77
5223,609708,77
8566,584352,77
7186,594374,76
7722,590608,76
6177,602411,76
320,657032,76
3242,628963,76
1055,648983,76
7909,589146,76
4478,616699,76
868,651281,76
1359,645640,76
5499,607721,76
7766,590281,76
135,659146,76
3471,627135,76
1388,645388,76
6371,601041,76
8864,582307,76
6477,600219,76
879,651143,76
3929,622400,76
3657,625222,76
6153,602582,76
8023,588271,76
8433,585440,76
7856,589518,76
8572,584324,76
4758,614205,76
8750,583042,75
1887,641275,75
7772,590238,75
4606,615616,75
8722,583285,75
2240,637978,75
434,655694,75
6276,601708,75
9201,579889,75
7144,594686,75
7548,591717,75
700,653261,75
5508,607643,75
1506,644282,75
7285,593555,75
9063,580876,75
8150,587560,75
7142,594698,75
3045,630727,75
3714,624520,75
3381,627761,75
2172,638954,75
5015,611733,75
5068,611207,75
944,650278,75
8538,584540,75
5212,609847,75
764,652549,75
1760,642228,74
2826,632629,74
8197,587309,74
4801,613947,74
8552,584456,74
3175,629593,74
2603,634595,74
6020,603610,74
7630,591263,74
170,658714,74
8094,587986,74
6662,598756,74
3578,626257,74
5284,609244,74
1106,648191,74
2464,636033,74
7887,589340,74
8828,582554,74
5945,604225,74
2173,638937,74
1729,642531,74
6321,601394,74
8978,581513,74
2283,637650,74
7543,591756,74
7859,589488,73
4923,612748,73
7419,592628,73
8748,583069,73
5742,605755,73
4628,615425,73
2778,632988,73
6958,596280,73
3035,630773,73
6874,596845,73
4648,615125,73
7979,588677,73
7644,591148,73
3487,627035,73
1809,641909,73
9119,580449,73
7506,592012,73
4579,615865,73
1349,645710,73
4581,615844,73
337,656859,73
5012,611790,73
2517,635571,73
7085,595214,73
4602,615679,73
8020,588310,73
2227,638121,73
2324,637248,73
7845,589595,72
7876,589402,72
6335,601302,72
5366,608687,72
5074,611181,72
4885,613129,72
5753,605649,72
5510,607639,72
4446,617003,72
17,660534,72
5840,605099,72
7408,592684,72
1731,642510,72
6313,601448,72
6557,599500,72
3566,626333,72
4269,619003,72
4264,619044,72
3086,630367,72
2746,633312,72
2094,639458,72
6819,597438,72
957,650102,72
4604,615645,72
1150,647930,72
3281,628542,72
7442,592449,71
3461,627210,71
7872,589424,71
4809,613852,71
3446,627307,71
5705,606192,71
1017,649332,71
893,650907,71
3293,628471,71
1284,646363,71
7170,594496,71
4833,613655,71
4230,619291,71
7774,590200,71
9210,579833,71
4518,616382,71
5754,605638,70
2695,633844,70
9197,579906,70
828,651725,70
4240,619234,70
4824,613697,70
7063,595473,70
6858,597142,70
1377,645483,70
843,651582,70
2345,637129,70
824,651764,70
1466,644763,70
2710,633731,70
4986,612050,70
1845,641602,70
3944,622285,70
1513,644225,70
838,651637,70
6898,596669,70
3525,626767,70
2422,636432,70
3556,626413,70
1250,646652,70
3006,630972,70
4973,612231,70
8326,586315,70
57,659963,70
3503,626940,69
6899,596659,69
5479,607929,69
3026,630804,69
1370,645524,69
4735,614475,69
6293,601595,69
6428,600686,69
9117,580457,69
4891,613046,69
7829,589735,69
4014,621471,69
4430,617223,69
7846,589594,69
2214,638321,69
8689,583520,69
8588,584237,69
1298,646266,69
5775,605419,69
752,652657,69
4614,615507,69
6730,598175,69
1919,641072,69
6361,601102,69
4733,614482,69
8736,583141,69
7256,593828,69
6301,601543,69
7438,592505,69
8999,581371,69
4547,616068,69
3598,626004,69
6766,597945,69
7523,591894,69
4972,612233,69
5551,607345,69
8929,581886,69
186,658571,69
531,654909,69
7454,592413,69
5617,606890,69
1713,642785,69
3441,627354,69
66,659853,69
1413,645271,69
499,655154,69
2224,638180,69
2875,632132,69
8551,584463,69
8335,586246,69
3730,624386,69
50,660087,69
7336,593121,69
3520,626805,69
181,658620,69
6536,599626,69
67,659849,69
1745,642403,69
2505,635710,69
751,652681,69
4333,618267,69
8351,586138,69
2773,633027,69
1255,646573,69
4797,613975,69
7263,593802,69
8158,587500,69
1525,644144,69
328,656945,69
7270,593767,69
4386,617712,69
5616,606893,69
3416,627528,69
4110,620543,69
5306,609130,69
8292,586563,69
206,658299,69
7120,594858,69
5259,609437,69
8732,583176,69
8941,581797,69
2246,637929,69
1071,648638,69
2084,639528,69
1067,648681,69
5205,609902,69
8443,585399,69
1112,648130,69
2636,634190,69
2882,632031,69
6732,598170,69
6482,600156,69
1736,642466,69
2208,638390,69
4285,618838,69
2298,637463,69
7273,593710,69
2463,636052,69
7103,595003,69
659,653724,69
1457,644895,69
7137,594743,69
2634,634217,69
8690,583515,69
6924,596519,69
7391,592773,69
6708,598323,69
5377,608583,68
9171,580133,68
6395,600887,68
3746,624295,68
6546,599573,68
4662,614998,68
7392,592772,68
5219,609761,68
7767,590263,68
2502,635732,68
7102,595012,68
5458,608114,68
4210,619497,68
6980,596057,68
3403,627585,68
3820,623455,68
2482,635851,68
4,660681,68
219,658203,68
1303,646227,68
8971,581564,68
3459,627214,68
6088,603139,68
2726,633484,68
2418,636452,68
5962,604111,68
3221,629263,68
4738,614458,68
2155,639120,68
7837,589672,68
8927,581902,67
7310,593352,67
3453,627274,67
8459,585336,67
5597,607049,67
9104,580575,67
9106,580558,67
5217,609808,67
6886,596753,67
4651,615106,67
4549,616059,67
8278,586658,67
3900,622631,67
2787,632911,67
4979,612148,67
3087,630339,67
4965,612304,67
7095,595137,67
7385,592792,67
8783,582833,67
5674,606497,67
9214,579808,67
713,653082,67
4167,619919,67
1941,640869,67
3179,629557,67
7705,590717,67
6863,597017,67
6653,598792,67
4925,612740,67
8665,583640,67
3914,622517,67
140,659123,67
3394,627665,67
2484,635849,66
7466,592354,66
8100,587955,66
424,655886,66
9048,581024,66
7177,594411,66
5589,607101,66
6443,600587,66
1686,642969,66
3150,629746,66
4933,612690,66
4224,619366,66
1341,645773,66
8314,586364,66
5636,606730,66
6526,599700,66
5400,608436,66
1356,645662,66
1092,648331,66
5654,606606,66
3098,630168,66
7642,591160,66
5622,606851,66
4939,612647,66
5157,610398,66
675,653581,66
8472,585230,66
3458,627234,66
5092,611048,66
3738,624344,66
7701,590742,66
3751,624227,65
4150,620185,65
7556,591675,65
723,652963,65
3670,625008,65
2313,637361,65
4182,619766,65
1600,643623,65
5199,610000,65
6592,599192,65
6070,603270,65
8284,586633,65
7695,590794,65
4867,613352,65
2162,639055,65
913,650646,65
2063,639704,65
5827,605184,65
2077,639577,65
9156,580252,65
1834,641668,65
5473,608001,65
4825,613689,65
2857,632269,65
1535,644087,65
4601,615687,65
2189,638674,64
4948,612572,64
7344,593083,64
2720,633562,64
1543,644036,64
1045,649066,64
7520,591909,64
8479,585071,64
4126,620420,64
6571,599395,64
2513,635601,64
3807,623553,64
4766,614146,64
1023,649259,64
3220,629280,64
8502,584802,64
6844,597233,64
8686,583528,64
1814,641875,64
2373,636899,64
647,653849,64
2895,631869,64
7564,591622,64
2176,638889,64
1673,643058,64
7375,592866,64
2716,633621,64
7272,593761,63
3186,629507,63
4629,615386,63
1121,648033,63
3399,627610,63
7945,588877,63
8477,585140,63
1634,643273,63
1362,645612,63
8962,581639,63
6166,602465,63
8339,586222,63
576,654314,63
2896,631864,63
6310,601478,63
3469,627146,63
2395,636736,63
6129,602744,63
283,657390,63
4894,613027,63
7108,594961,63
1655,643198,62
6148,602640,62
7742,590469,62
4017,621451,62
6928,596493,62
8327,586308,62
4724,614554,62
4020,621397,62
4278,618917,62
2181,638851,62
4288,618782,62
3826,623400,62
4413,617405,62
2334,637184,62
7919,589048,62
2712,633680,62
3801,623647,62
8963,581637,62
2005,640256,62
309,657139,62
3693,624715,62
385,656399,62
6009,603680,62
3912,622534,62
4335,618248,62
3204,629378,62
1371,645523,61
8147,587577,61
4681,614846,61
7734,590545,61
2033,640032,61
9061,580888,61
2668,633996,61
3368,627853,61
3118,629969,61
1989,640391,61
4497,616572,61
4854,613506,61
148,659057,61
430,655766,61
3757,624182,61
8658,583687,61
4349,618041,61
5337,608897,61
2121,639312,61
3085,630385,61
6755,598010,61
2088,639506,61
276,657477,61
8135,587703,61
1136,647987,61
5862,604969,61
5407,608398,61
2293,637539,60
6943,596416,60
58,659942,60
4067,620996,60
3225,629244,60
653,653783,60
7043,595632,60
5034,611519,60
8097,587973,60
7449,592424,60
423,655889,60
1773,642146,60
4674,614911,60
7850,589573,60
4618,615488,60
5599,607036,60
709,653120,60
4901,612968,60
7592,591471,60
7189,594366,60
1864,641459,60
6005,603713,60
4341,618132,60
232,658023,60
4623,615466,60
3594,626060,60
3193,629449,60
3482,627065,60
7343,593086,60
1158,647851,60
173,658677,59
4922,612752,59
2050,639866,59
982,649691,59
7907,589157,59
4535,616164,59
1340,645785,59
2644,634094,59
8247,586883,59
2593,634664,59
2379,636856,59
8635,583811,59
554,654519,59
4980,612147,59
5606,606976,59
7190,594361,59
3173,629598,59
2247,637927,59
1517,644211,59
6572,599386,59
6827,597338,59
6186,602359,59
6444,600578,59
3232,629118,59
4769,614132,59
4930,612709,58
6439,600599,58
695,653337,58
2051,639863,58
1813,641891,58
6675,598619,58
887,651020,58
8949,581727,58
6706,598338,58
3550,626475,58
4633,615320,58
1080,648518,58
301,657225,58
5920,604412,58
8355,586106,58
5001,611920,58
4158,620115,58
1296,646279,58
2916,631699,58
3609,625892,58
5480,607916,58
4706,614665,58
8755,583015,58
731,652863,57
2029,640057,57
6523,599724,57
6090,603114,57
8805,582683,57
3491,626991,57
2079,639571,57
5952,604199,57
8807,582675,57
1592,643766,57
5746,605698,57
4644,615194,57
6389,600922,57
1880,641324,57
3591,626132,57
4310,618449,57
5744,605723,57
923,650507,57
3353,628025,56
5602,606986,56
2654,634053,56
2788,632908,56
512,655077,56
1852,641545,56
4721,614565,56
5987,603925,56
2942,631507,56
8564,584366,56
7697,590780,56
4327,618339,56
5383,608544,56
308,657142,56
132,659170,56
9180,580028,56
1507,644264,56
4967,612293,56
4377,617791,56
4148,620193,56
443,655578,56
5996,603809,56
8967,581606,56
1808,641916,55
35,660321,55
2177,638885,55
7860,589478,55
31,660374,55
7780,590167,55
535,654869,55
1828,641725,55
6112,602859,55
1410,645285,55
6356,601133,55
710,653109,55
522,655011,55
293,657313,55
6707,598330,55
1052,648993,55
2250,637907,55
6272,601726,55
617,654051,55
5516,607611,55
6502,599990,55
4079,620794,55
5326,608967,55
658,653757,55
2319,637289,55
8025,588255,55
8093,587991,55
8734,583169,55
2725,633515,55
8270,586710,55
1258,646552,55
1401,645333,55
9069,580819,55
1037,649135,55
9019,581232,55
4976,612162,55
736,652806,55
3492,626989,55
5440,608217,55
6715,598301,55
8346,586158,55
3612,625880,54
1011,649359,54
2556,634963,54
6941,596419,54
1976,640498,54
7230,593985,54
7950,588860,54
1297,646276,54
5611,606920,54
2864,632224,54
5727,605931,54
5954,604182,54
3901,622630,54
3911,622543,54
2703,633778,54
375,656481,54
837,651642,54
6181,602402,54
7625,591317,54
5463,608093,54
761,652569,54
4575,615885,54
6051,603390,54
5382,608557,54
6670,598694,54
4608,615582,54
3101,630135,54
3050,630701,54
9005,581322,54
4719,614568,54
5557,607310,54
8119,587876,54
6973,596142,54
9153,580275,53
1908,641124,53
2992,631155,53
7889,589314,53
6329,601352,53
7037,595702,53
7751,590371,53
5709,606175,53
5421,608309,53
4872,613326,53
7201,594161,53
3688,624747,53
4815,613797,53
9035,581127,53
7522,591899,53
1337,645802,53
6500,600018,53
7257,593829,53
8833,582517,53
1151,647918,53
8798,582727,53
8855,582348,53
703,653232,53
4156,620147,53
91,659607,53
2565,634875,53
5028,611560,53
8464,585283,53
4174,619857,53
6700,598402,53
7912,589116,53
5531,607491,53
620,654026,53
39,660236,52
22,660471,52
8276,586678,52
6262,601790,52
7480,592289,52
8714,583373,52
4370,617845,52
5786,605331,52
68,659833,52
6587,599268,52
4778,614090,52
986,649597,52
1289,646334,52
5045,611379,52
7330,593201,52
8049,588126,52
7139,594718,52
8713,583381,52
1930,640974,52
1057,648948,52
2689,633882,52
6530,599678,52
9224,579753,52
6594,599164,52
358,656594,52
7116,594910,52
4849,613542,52
744,652727,52
2813,632767,52
8507,584754,52
8913,581979,52
3189,629482,52
5066,611216,52
7176,594428,52
8399,585742,52
2566,634868,52
6680,598596,52
8535,584572,52
1480,644658,52
651,653786,52
8516,584681,52
3958,622145,52
1063,648765,52
9238,579538,52
3236,629056,52
7290,593502,52
0,660737,52
7620,591346,52
1078,648538,52
475,655337,52
7204,594137,52
7107,594964,52
8883,582193,52
4761,614200,52
4165,619952,51
2604,634594,51
373,656492,51
2389,636797,51
8915,581970,51
3286,628512,51
5839,605107,51
4561,615997,51
3957,622158,51
2511,635626,51
1374,645512,51
260,657686,51
5483,607885,51
8494,584881,51
3425,627475,51
6414,600758,51
6932,596475,51
7006,595872,51
3695,624700,51
8774,582882,51
6786,597789,51
1639,643278,51
8758,582994,51
8103,587944,51
4218,619425,51
3024,630816,51
802,652035,51
1643,643282,51
7791,590095,51
737,652801,51
4329,618332,51
4494,616586,51
3071,630515,51
350,656685,51
4025,621360,51
600,654189,51
1758,642248,51
1638,643277,51
150,659038,51
1637,643276,51
1949,640752,50
5322,609006,50
5211,609858,50
3546,626497,50
8567,584347,50
4580,615853,50
3963,622097,50
6114,602831,50
4352,617991,50
8035,588185,50
8334,586254,50
2569,634849,50
4928,612728,50
5634,606750,50
4886,613102,50
6882,596785,50
1786,642069,50
9089,580694,50
4898,612983,50
1933,640961,50
4119,620474,50
1817,641858,50
4517,616397,50
4217,619428,50
4905,612919,50
4619,615481,50
5519,607568,50
8218,587155,50
9096,580635,50
7518,591928,50
8984,581459,50
5016,611732,50
2083,639530,50
5526,607520,50
1041,649091,50
3076,630437,50
3304,628428,50
1167,647701,50
7080,595243,50
3576,626270,50
4499,616561,50
6095,603074,50
4744,614292,50
7074,595322,50
6415,600755,50
2226,638149,50
8961,581641,50
4919,612780,50
6418,600736,50
8911,581991,50
7938,588921,50
7852,589546,50
5432,608255,50
6854,597168,50
1294,646302,50
5320,609020,50
2553,634982,50
9110,580536,50
7764,590298,50
8214,587218,50
7464,592370,50
2467,635995,50
4214,619478,50
1666,643106,50
4074,620883,50
2081,639547,50
6887,596751,50
5201,609962,50
2229,638076,50
5080,611126,50
9136,580381,50
4056,621126,50
7692,590805,50
4855,613497,50
4029,621337,50
2956,631431,50
1269,646456,50
805,651993,50
9187,579979,50
4189,619629,50
5953,604185,50
4503,616531,50
6978,596064,50
2276,637702,50
7435,592518,50
7721,590614,50
2238,637986,50
6255,601815,50
3420,627505,50
2884,632017,50
9182,580026,50
8128,587781,50
3452,627284,50
840,651614,50
6988,595996,50
4714,614597,50
3816,623484,50
8934,581860,50
5347,608834,50
3328,628220,50
5610,606927,50
5138,610550,50
5055,611296,50
5189,610131,50
7003,595902,50
6294,601582,50
5052,611316,50
5220,609752,50
3283,628534,50
4166,619930,50
8310,586393,50
5961,604114,50
3218,629293,50
4587,615801,50
1529,644129,50
6840,597252,50
8248,586870,50
6997,595949,50
1907,641129,50
5956,604170,50
1216,646958,50
2133,639249,50
6116,602813,50
6757,598002,50
8923,581925,50
4857,613483,50
8370,585927,50
9165,580181,50
4500,616560,50
6986,596002,50
1913,641106,50
1615,643461,50
5436,608239,50
2694,633862,50
1756,642278,50
1821,641827,50
2080,639564,50
6796,597680,50
3217,629297,50
6063,603315,50
7899,589238,50
6376,601000,50
4389,617701,50
3324,628297,50
2944,631489,50
8803,582690,50
4920,612771,50
3850,623183,50
1215,646999,50
2782,632942,50
9105,580568,50
7712,590686,50
2086,639509,50
4780,614082,50
7041,595656,50
8632,583831,50
3230,629222,50
1694,642914,50
3170,629610,50
2626,634298,50
4141,620260,50
5231,609640,50
4512,616444,50
4491,616596,50
1969,640572,50
6197,602265,50
5529,607497,50
7173,594464,50
4334,618253,50
8392,585785,50
8545,584496,49
800,652058,49
1811,641907,49
5104,610883,49
2545,635026,49
3677,624942,49
21,660478,49
1083,648481,49
1381,645457,49
6318,601403,49
5184,610153,49
4591,615753,49
1584,643807,49
1405,645308,49
6839,597258,49
8811,582647,49
233,658017,49
3219,629287,49
2092,639460,49
8785,582798,49
6093,603083,49
216,658222,49
1345,645735,49
8624,583931,49
7891,589309,49
8554,584441,49
3824,623420,49
726,652937,49
7651,591108,49
8406,585709,48
3642,625523,48
6799,597640,48
5798,605295,48
2032,640035,48
549,654574,48
7547,591718,48
1429,645149,48
4076,620832,48
238,657968,48
804,652014,48
3686,624815,48
2394,636746,48
3383,627749,48
1776,642128,48
4188,619646,48
6347,601193,48
315,657077,48
5113,610779,48
6123,602769,48
5248,609517,48
210,658277,48
4317,618414,48
4893,613035,48
5078,611143,48
6912,596580,48
5401,608434,48
4635,615283,48
2449,636185,47
3978,621941,47
946,650265,47
2291,637589,47
947,650258,47
6652,598793,47
3451,627287,47
4731,614506,47
2364,636978,47
2612,634478,47
3347,628064,47
4348,618049,47
6001,603772,47
5584,607128,47
8404,585712,47
7752,590360,47
1953,640714,47
4305,618507,47
2125,639299,47
89,659630,47
3000,631047,47
5745,605722,47
5238,609588,47
3430,627438,47
3033,630777,47
3838,623297,47
5360,608730,47
6856,597163,47
7333,593125,47
8021,588291,47
7456,592407,47
1562,643930,47
6921,596530,47
5312,609072,47
2690,633878,47
4300,618575,47
7307,593369,47
827,651732,47
5743,605734,47
4161,620064,47
7298,593433,47
2007,640235,47
7685,590880,46
1500,644380,46
896,650892,46
8584,584266,46
4895,613019,46
5903,604613,46
1310,646170,46
2546,635021,46
2408,636584,46
1127,647978,46
6122,602772,46
6739,598116,46
6113,602848,46
7776,590182,46
5416,608334,46
116,659345,46
2237,637995,46
4111,620522,46
9190,579941,46
2492,635794,46
770,652486,46
18,660522,46
7261,593816,46
4655,615064,46
396,656331,45
1016,649334,45
831,651702,45
3509,626897,45
3338,628129,45
994,649493,45
3431,627411,45
8249,586864,45
644,653879,45
2583,634753,45
4507,616506,45
3008,630952,45
1652,643215,45
1209,647084,45
5845,605081,45
3737,624347,45
2021,640112,45
7997,588564,45
2478,635898,45
8997,581375,45
1098,648290,45
3010,630946,45
5944,604229,45
3513,626880,45
6278,601705,45
9192,579928,45
